rank,youtuber,subscribers,video_views,category,title,uploads,country,abbreviation,channel_type,video_views_rank,country_rank,channel_type_rank,video_views_for_the_last_month,lowest_monthly_earnings,highest_monthly_earnings,lowest_yearly_earnings,highest_yearly_earnings,subscribers_for_last_month,created_year,created_month,created_date,gross_tertiary_education_enrollment_percent,population,unemployment_rate,urban_population,latitude,longitude
91,Daddy Yankee,38000000,22731415608,Music,Daddy Yankee,505,United States,US,Music,92.0,27.0,33.0,205594000.0,51400,822400,616800,9900000,100000.0,2011.0,May,16.0,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891
92,Vlad v���,37900000,23510152352,,Vlad v���,515,United States,US,Entertainment,84.0,28.0,27.0,244093000.0,61000,976400,732300,11700000,200000.0,2018.0,Jul,20.0,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891
93,Like Nastya ESP,37600000,18208196857,Entertainment,Like Nastya ESP,743,United States,US,Entertainment,145.0,29.0,28.0,321026000.0,80300,1300000,963100,15400000,700000.0,2017.0,Apr,22.0,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891
94,������������ one31,37500000,27262462114,Entertainment,������������ one31,117152,Thailand,TH,Entertainment,56.0,2.0,29.0,140754000.0,35200,563000,422300,6800000,300000.0,2013.0,Jan,10.0,49.3,69625582.0,0.75,35294600.0,15.870032,100.992541
95,Jkk Entertainment,37200000,16402066717,Comedy,Jkk Entertainment,220,India,IN,Comedy,178.0,24.0,3.0,49861000.0,12500,199400,149600,2400000,100000.0,2017.0,Mar,20.0,28.1,1366417754.0,5.36,471031528.0,20.593684,78.96288
96,ABP NEWS,37000000,13102611515,People & Blogs,ABP NEWS,301308,India,IN,News,280.0,25.0,2.0,267060000.0,66800,1100000,801200,12800000,400000.0,2012.0,Jun,1.0,28.1,1366417754.0,5.36,471031528.0,20.593684,78.96288
97,Maria Clara & JP,37000000,24188861917,People & Blogs,Maria Clara & JP,744,Brazil,BR,Entertainment,75.0,7.0,30.0,251449000.0,62900,1000000,754300,12100000,300000.0,2015.0,Sep,6.0,51.3,212559417.0,12.08,183241641.0,-14.235004,-51.92528
98,Bruno Mars,36700000,19378155425,Music,Bruno Mars,99,United States,US,Music,134.0,30.0,34.0,175243000.0,43800,701000,525700,8400000,200000.0,2006.0,Sep,19.0,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891
99,Maroon 5,36600000,22553923546,Music,Maroon 5,171,United States,US,Music,96.0,31.0,35.0,152825000.0,38200,611300,458500,7300000,,2006.0,Mar,9.0,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891
100,Ultra Bollywood,36600000,15653786446,Trailers,Ultra Bollywood,9168,India,IN,Entertainment,205.0,26.0,31.0,131462000.0,0,0,0,0,200000.0,2009.0,Oct,21.0,28.1,1366417754.0,5.36,471031528.0,20.593684,78.96288
101,PowerKids TV,36500000,18961241905,Film & Animation,PowerKids TV,5621,,,Film,139.0,1.0,6.0,318702000.0,79700,1300000,956100,15300000,600000.0,2014.0,Aug,6.0,,,,,,
102,YouTube,36300000,3010784935,News & Politics,YouTube,744,United States,US,Entertainment,2860.0,32.0,5.0,21103000.0,5300,84400,63300,1000000,300000.0,1970.0,Jan,1.0,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891
103,News,36300000,0,,News,0,,,,4057944.0,,,,0,0,0,0,,2013.0,Sep,9.0,,,,,,
104,Ozuna,36200000,23355801606,Music,Ozuna,196,,,Music,87.0,2.0,36.0,169242000.0,42300,677000,507700,8100000,100000.0,2016.0,Mar,24.0,,,,,,
105,MrBeast Gaming,36100000,6331332547,Gaming,MrBeastGaming,5,,,Comedy,4057305.0,,4880.0,32.0,0,0,0,2,1.0,2011.0,Feb,26.0,,,,,,
106,La Granja de Zen�,35700000,27118354077,Music,La Granja de Zen�,654,Argentina,AR,Music,58.0,2.0,37.0,302071000.0,75500,1200000,906200,14500000,400000.0,2013.0,Jun,6.0,90.0,44938712.0,9.79,41339571.0,-38.416097,-63.616672
107,Saregama Music,35500000,15657673422,Entertainment,Saregama Music,7566,India,IN,Music,199.0,27.0,38.0,533793000.0,133400,2100000,1600000,25600000,900000.0,2013.0,Jan,4.0,28.1,1366417754.0,5.36,471031528.0,20.593684,78.96288
108,IndiaTV,35500000,16105023749,News & Politics,IndiaTV,273255,India,IN,News,185.0,27.0,3.0,290847000.0,72700,1200000,872500,14000000,600000.0,2006.0,Aug,26.0,28.1,1366417754.0,5.36,471031528.0,20.593684,78.96288
109,T-Series Bollywood Classics,35400000,22637783517,Music,T-Series Bollywood Classics,2010,India,IN,Music,94.0,28.0,39.0,331474000.0,82900,1300000,994400,15900000,500000.0,2012.0,Apr,2.0,28.1,1366417754.0,5.36,471031528.0,20.593684,78.96288
110,Total Gaming,35400000,5556364230,Gaming,totalgaming,1,,,Autos,4056447.0,,3902.0,53.0,0,0,0,3,2.0,2006.0,Jul,15.0,,,,,,
111,Markiplier,35200000,20297931219,Gaming,Markiplier,5490,United States,US,Games,119.0,34.0,8.0,127329000.0,31800,509300,382000,6100000,100000.0,2012.0,May,26.0,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891
112,Ryan's World,35200000,55299840198,Entertainment,Ryan's World,2453,United States,US,Entertainment,15.0,35.0,32.0,238613000.0,59700,954500,715800,11500000,200000.0,2015.0,Mar,17.0,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891
113,Genevieve's Playhouse - Learning Videos for Kids,34900000,25607397308,Education,Genevieve's Playhouse - Learning Videos for �,617,United States,US,Film,69.0,36.0,7.0,335307000.0,83800,1300000,1000000,16100000,300000.0,2016.0,Jan,6.0,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891
